,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-0.0038988486845813308,-0.006036894724108737,-0.005473839347247149,-0.0076118517114241125,-0.0029714933756437075,-0.0051095592432041335,-0.002138129401953859,0.0027476212510492456,0.0006094331014028185,0.00040536968992077425,-2.9991382206311086e-05,0.0,-0.0010424418805096045,3.950888926785489e-05,0.03742514970060465
1,O=C=O + [Pt] <=> O=C=O.[Pt],-0.0038945343134526435,-0.0060429986678606365,-0.005318422845277165,-0.007466856606747439,-0.0030561480165524086,-0.005204630384099961,-0.0021485480303510274,0.002713554910900439,0.0005649485785226751,0.00040330098505367425,9.03928379439319e-06,0.0,-0.0010488519449882523,-2.727107070053267e-05,0.03742514970060465
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],-0.001944201017379378,-0.0025646669863208524,-0.0013234708044453055,-0.0019439406248774676,-0.0023096872846943735,-0.0029301509858564974,-0.0006204780322842825,0.0004976102885755067,-0.00012287083126668235,5.760880841190491e-05,-5.484813124645179e-05,0.0,-0.0004897325496059479,0.0011430944902567075,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],17.789974649725377,26.88140757544875,24.948742349501767,34.592713439588366,13.574888561209399,22.340986732732787,7.718341864627071,-11.560035901251844,-4.733937127157007,-2.596400850402446,0.02066729132552351,0.09157509157507333,3.163597355361009,-0.21072146853609583,0.9730538922155613
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],0.027055411195696256,0.02833565111954918,-0.04445642094015255,-0.043177096291674426,0.0691616145873241,0.0704423934257953,0.0012798936433674952,0.01974390135716861,0.021024047701465768,0.003193365974624864,0.0032524083456887966,0.0,0.008127623352885596,-0.060162694269540545,0.0
5,C + 2 [Pt] <=> C[Pt] + [Pt],0.0010353755618005413,-0.000131323409102702,0.002663941072938429,0.001497223101781103,7.647535466641217e-05,-0.0010902124288796528,-0.0011666868913186882,0.000443688104235451,-0.0007230039635375732,7.585798284101876e-05,-0.00024401339975843524,0.0,-0.00027782907531024507,0.0005249914330493787,0.0
6,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.0010801061131106948,-0.001652670178251078,-0.001338377698060981,-0.0019109402843951356,-0.0009280356715861737,-0.001500600607417851,-0.0005725702495087753,0.0006953934084373337,0.00012281917730071638,0.00010788471600296136,-3.249813967182739e-07,0.0,-0.0002866956311370836,-1.6568220815388843e-05,0.0
7,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-0.0011092796866368929,-0.0016778202724895433,-0.0013862187659576663,-0.001954757777275573,-0.0009462178148651032,-0.0015147593277958663,-0.000568546892622534,0.0006987865927648413,0.0001302357272181955,0.00010750080353821837,-5.38247411563526e-10,0.0,-0.00028957579656914705,-7.023117400866084e-08,0.0
8,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],-4.402554906806801,-26.531993110666836,10.689140259860077,-14.933809044183391,-13.288552751258209,-33.36100982987244,-23.148566556655513,31.182325242451665,0.8154973731344343,6.994133382790782,7.448384101015626e-06,0.0,-2.336631805926905,1.931100277588174e-06,311.6766467065868
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-0.001109281986332663,-0.0016778181739165777,-0.0013862321610658812,-0.0019547667740813473,-0.0009462135815763425,-0.0015147506962691249,-0.0005685424943311418,0.0006987850278343745,0.00013023856060134328,0.00010749971622718328,2.769094162712399e-10,0.0,-0.0002895737403294537,-5.9142428670501484e-09,0.0
