,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],0.010235073327669476,0.02303764560422381,0.004835195463102601,0.017637076487144628,0.01616936990976862,0.02897270185117815,0.012801262057999198,-0.06128771495598135,-0.04849429849897943,-0.019872484875364978,-0.0014477282277009862,-0.16863406408094075,4.2188474935773725e-13,-0.021740687106003184,-0.16849199663015646
1,O=C=O + [Pt] <=> O=C=O.[Pt],-0.002787009663519274,-0.009966922682024778,-0.0010765574807426858,-0.008256593311623343,-0.004666743019806998,-0.01184652107131342,-0.0071801131289438175,0.020747784316423473,0.013566181473096526,0.005397140128613157,0.00011522409894128944,0.08431703204047038,-1.1102230246256243e-13,0.015784743055996874,0.08424599831509319
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.002809868000572295,0.009191629533034644,0.00110181028345812,0.0074834628148152645,0.004686969914161244,0.011068851235424329,0.006381582218425778,-0.02047327528650008,-0.014092999586966918,-0.005688718942082542,-3.4628415490191107e-06,0.0,1.2212453270881867e-13,-0.0007166709165545908,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.01013576594159834,0.002230831758445075,-0.010763404689752128,0.001603115384874244,-0.009446010622773617,0.002920672385188381,0.01236785127650604,0.00684902686531983,0.01921772521928552,0.005150507813273718,0.03590399863881581,-0.08431703204047038,-8.881784197004995e-14,0.7009384636108131,-0.08424599831507823
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],0.010797068204691694,0.019743997441926564,0.005233004129676115,0.01417943560778902,0.016911800287714072,0.025859276546644064,0.008945963335474465,-0.06065235372518104,-0.05171181632702413,-0.02156501998136083,-0.0012895010426800188,-0.2529510961214261,4.551914400965059e-13,0.006783218113782793,-0.2527379949452347
5,C + 2 [Pt] <=> C[Pt] + [Pt],0.029183186459854682,-0.03886326567755649,0.018695910978966345,-0.0493434070215056,0.04070837362194481,-0.027345918708402268,-0.06802659980794332,-0.06437096972131595,-0.1323537801472873,-0.059334999972993636,-0.01935583176156352,-0.2529510961214261,1.1546319456106493e-12,-0.24071376824823945,-0.2527379949452347
6,C=[Pt] + [Pt] <=> C[Pt] + [Pt],0.0313041554296181,-0.06997717355438811,0.02208877944667355,-0.07918321900291225,0.04143156489513411,-0.05986001805386408,-0.10124963364131813,-0.03600788472215781,-0.13722106051210453,-0.06258026453145747,-0.02914026451444492,-0.16863406408094075,1.1768364061031617e-12,-0.48061579734373244,-0.08424599831507823
7,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],0.032882308371050765,-0.02674026613557978,0.021571301138875534,-0.03804453167085122,0.04531275091831959,-0.014317232501943987,-0.059602975672368205,-0.07818335428155508,-0.1377397303482893,-0.060825483411842136,-0.017554324243810416,-0.2529510961214261,1.1768364061031617e-12,-0.19378559673047555,-0.2527379949452347
8,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],-0.002862896870605446,-0.008996491274501292,-0.0011370335828622782,-0.0072707338472487795,-0.004759566548397964,-0.010893044614944737,-0.00613377000740148,0.02046994422024057,0.014334918633543357,0.005810759155315088,3.07173592674349e-07,0.08431703204047038,-1.3322676295507493e-13,5.408169580615901e-06,0.08424599831509319
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],0.029495382985734245,-0.0648255775429115,0.020615160278045337,-0.07369742680901412,0.03925446950289788,-0.055075693175673825,-0.09429314840338622,-0.03627492325256104,-0.1305338668887223,-0.059483412216895966,-0.027692657543311773,-0.16863406408094075,1.1324274851181369e-12,-0.4648777903732452,-0.08424599831507823
10,C~[Pt] + [H][H] <=> C=[Pt],0.04093057002165986,-0.03483000855161826,0.025584499265754193,-0.05016445779226386,0.05779542095331904,-0.017977929301069305,-0.07572958202367047,-0.11087082719743227,-0.18651644720708074,-0.08238487531394771,-0.028487181086014078,-0.33726812816189644,1.5987211554608991e-12,-0.47354270459385683,-0.2527379949452347
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],0.051698264464111396,0.027058889276280498,0.03264048670090836,0.008005804804124514,0.0726421651001206,0.04799763213253972,-0.024626643640462558,-0.19329190231848808,-0.21787094465097515,-0.09043059406228074,-0.02692585476374472,-0.33726812816189644,1.8096635301397677e-12,-0.26010440308244387,-0.33698399326032785
12,O=C=O.[Pt] + [Pt] <=> O=C=[Pt] + O[Pt],0.0057074588069158305,0.017957483625602344,0.002261555321671178,0.014511158040426245,0.00949439876881648,0.021744887462103634,0.01224932569347282,-0.04085523623267848,-0.02861091503014662,-0.011601074211285228,-4.271679890526514e-09,-0.16863406408094075,2.553512956638936e-13,3.4002543702461238e-06,-0.16849199663015646
13,[Pt] + O=[Pt] <=> O[Pt] + [Pt],0.0016754022091249941,-0.004925424471237268,0.0013159474917750578,-0.005284855461992519,0.002070431680943289,-0.004530421074185681,-0.006600716091811416,0.00029427870933002574,-0.006306456806977432,-0.0029569257485471006,-0.0013789545147770645,0.0,5.5511151231281215e-14,-0.01522435451670123,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],0.011606699434772763,0.036302872416774205,0.004648094554684391,0.029342549227038904,0.019253988168271896,0.0439520495187673,0.024693306904100706,-0.08273548651788235,-0.05806260974137848,-0.023520876110460897,-8.374734337707028e-05,-0.2529510961214261,4.99600361081531e-13,2.7315575146750757e-05,-0.2527379949452347
15,O + [Pt] <=> O.[Pt],0.002855975196335277,0.008977904126787868,0.0011307336885089585,0.007252557003928926,0.004751961557520911,0.010874006555602627,0.006121754094679388,-0.020442306479589497,-0.014321803812636305,-0.005808803532810004,-3.1635299147606184e-07,0.0,1.2212453270881867e-13,0.00011446951165688005,0.0
16,O.[Pt] + O=[Pt] <=> 2 O[Pt],0.024496297588577343,-0.0735713510429861,0.01924293097189986,-0.07881956706823956,0.030269582899780507,-0.06780372607034683,-0.0980436315717958,0.004874527562478635,-0.09317388317315586,-0.04384766909674787,-0.01985671274330555,-0.16863406408094075,8.21565038222962e-13,-0.1910564329631135,-0.16849199663015646
17,[Pt] + O[Pt] <=> O.[Pt] + [Pt],0.002219678040515906,-0.002992507341908125,0.0014412644497767842,-0.0037708803611715878,0.0030751301871922453,-0.0021370997819962732,-0.005212069691252466,-0.004250440099176949,-0.009462288254523754,-0.004276362171526332,-0.0013429543532155412,0.08431703204047038,7.77156117237937e-14,-0.014866931056143224,0.08424599831509319
18,[H] + [Pt] <=> [Pt],0.011859310976158636,0.027619070896884503,0.005215532599701607,0.02097424560107226,0.019160615246420848,0.034921525698730284,0.01575789114342042,-0.07398031636503356,-0.05823408295933121,-0.024074330479818405,-0.001342255333233138,-0.16863406408094075,4.99600361081531e-13,-0.01656477311176187,-0.16849199663015646
19,[CH3] + [Pt] <=> C[Pt],0.01608077290373056,0.015516943583571786,0.016762673525375305,0.016198840361086316,0.0153313854861467,0.014767560390584035,-0.0005637386666192429,-0.03142198783703313,-0.03198554936575991,-0.006423846578757115,-0.00958165206161639,0.08431703204047038,1.6653345369384366e-13,0.044663068739509613,0.08424599831509319
20,[OH] + [Pt] <=> O[Pt],-0.00288407429652084,-0.009002443426996288,-0.0011624483272410255,-0.007280922796179726,-0.004776087294087452,-0.010894340660876233,-0.006118545593874689,0.020477698926922656,0.014357900395706944,0.005809550229533411,-3.348716742826498e-05,0.0,-1.3322676295507493e-13,0.00040384322562316146,0.0
21,[CH]=O + [Pt] <=> O=C[Pt],0.04759024674705417,-0.06735139728435229,0.031589635025654615,-0.0833336263879091,0.06517441769145745,-0.04978742826098543,-0.11488696903935161,-0.0944989930461296,-0.20927739505659998,-0.09372921454221027,-0.03572107103862056,-0.2529510961214261,1.787459069647255e-12,-0.5529744799815501,-0.16849199663015646
22,C + [Pt] <=> C.[Pt],0.02344436054416976,0.0007499896797842858,0.012695752558255117,-0.009996179548906409,0.03525674394112477,0.012559692958979716,-0.022689051561330345,-0.09078681897177193,-0.11345527186493239,-0.049515025409975884,-0.01110697022726298,-0.2529510961214261,9.880984919168057e-13,-0.13851306702243069,-0.2527379949452347
23,O + 2 [Pt] <=> [Pt] + O[Pt],0.03020907149972503,-0.03254717903314733,0.017884521854008115,-0.04486399658938034,0.043753365402768626,-0.01901138245413627,-0.06273729817759864,-0.07544398880410544,-0.1381339554614902,-0.06241921020685438,-0.018436419860837074,-0.16863406408094075,1.1990408665956743e-12,-0.22887335404784004,-0.16849199663015646
24,[H][H] + [Pt] <=> [H][H].[Pt],0.006785192147511645,0.015236081312664766,0.003181315752460867,0.011631900378687497,0.010745739387620195,0.01919696323151298,0.008450315794989302,-0.04078388814731662,-0.03233701871966336,-0.013296723597715719,-0.0007853044196343967,-0.2529510961214261,2.886579864026623e-13,-0.008544473945421465,-0.2527379949452347
25,CC + 2 [Pt] <=> 2 C[Pt],0.006827130111530647,0.015263768686589867,0.003228650078737276,0.011664985083785235,0.010781746918612535,0.019218719107634678,0.008436062634094252,-0.04083480669108931,-0.03240218890685992,-0.013303828236128218,-0.0007983895576392745,-0.16863406408094075,2.886579864026623e-13,-0.008518527141535913,-0.16849199663015646
26,C=O + 2 [Pt] <=> O=C[Pt] + [Pt],-0.0006354948512998111,-0.012008304957876843,0.0003367874421115435,-0.011036133240974908,-0.0017040026278029926,-0.013076691214243354,-0.011372882380647742,0.01624687089632846,0.004872140778166361,0.0015557860876925,-0.0013787990304918339,0.16863406408095571,-4.4408920985024973e-14,-0.01524528428416582,0.16849199663015646
27,CO + 2 [Pt] <=> C[Pt] + O[Pt],0.024882993859201178,0.004350973380171762,0.013465210777166243,-0.007064465983486959,0.03743077971990982,0.01689618356781924,-0.020526912768585856,-0.09928182855122424,-0.11978836182545909,-0.05204372208659418,-0.011170349838439095,-0.4215851602023668,1.0547118733943432e-12,-0.13924260155575752,-0.4212299915754061
28,CC=O + 2 [Pt] <=> C[Pt] + O=C[Pt],0.01135655846645082,-0.015319211822800216,0.00794104197476766,-0.018733817302587635,0.015110104074511268,-0.011566667388239651,-0.026672741183793418,-0.019133023857596597,-0.04580066173944937,-0.020477012631259933,-0.006834411513335564,-0.08431703204047038,3.996802888652248e-13,-0.07524905587884208,-0.08424599831507823
29,O=C[Pt] + [Pt] <=> O=C=[Pt] + [Pt],-1.6848018610611243e-06,6.708760471178289e-07,-2.357186407754279e-06,-1.508504829383191e-09,-9.458722983672209e-07,1.4098056316451768e-06,2.35567795615198e-06,-2.3537264785537683e-06,1.951431355749474e-09,-1.0485529742144324e-06,-3.8417955421528637e-10,0.08431703204047038,0.0,-5.898499558386593e-10,0.08424599831509319
30,O=C[Pt] + C#[Pt] <=> C=[Pt] + O=C=[Pt],0.008021276638842514,0.01507994139645977,0.003871636749277165,0.010930008621238576,0.012581600859360484,0.01964058748916882,0.007058098608012744,-0.04515630871336063,-0.03810139728214621,-0.015822000242009568,-0.001360731736389993,-0.08431703204047038,3.330669073876873e-13,-0.014955619721023125,-0.08424599831507823
31,C=[Pt] + O=C[Pt] <=> C[Pt] + O=C=[Pt],-0.005728886551779715,-0.018006328792236938,-0.0022738938960874923,-0.014551760345573303,-0.00952581522719021,-0.02180279127521512,-0.012278145641486639,0.040973503682771355,0.028690327254836164,0.011630656807832781,-7.721015935824216e-11,0.08431703204047038,-2.553512956638936e-13,-4.47156567487344e-09,0.08424599831509319
32,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],0.03521472706969428,-0.0468414857291784,0.02288257034461927,-0.059163526715701596,0.048767380914591145,-0.03329994876398503,-0.08202732709950145,-0.07722502472731406,-0.15918900620317464,-0.07110160967182409,-0.027692658578695975,-0.33726812816189644,1.3655743202895179e-12,-0.4648778045078154,-0.2527379949452347
33,O=C[Pt] + O=[Pt] <=> O=C=[Pt] + O[Pt],0.022397809141481234,-0.06014854551960251,0.01592867219048787,-0.06661234362963986,0.02950718795711895,-0.05304503392289404,-0.08252787022622042,-0.015930301586023033,-0.09844502487362362,-0.04565071130435002,-0.019246611651846195,-0.08431703204047038,8.65973959207987e-13,-0.24152388357300428,-0.08424599831507823
34,C#[Pt] + O[Pt] <=> C=[Pt] + O=[Pt],0.00895841319680549,0.028345613414513856,0.0034940241721239133,0.02288016509269847,0.014963605522581778,0.03435196987466733,0.019385463587788247,-0.06463856260906263,-0.04526562950628761,-0.01837186598922513,3.2533570189146083e-09,-0.16863406408094075,3.996802888652248e-13,5.471653190504956e-08,-0.16849199663015646
35,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],0.02949541627735983,-0.06482563717864911,0.020615192480343134,-0.07369748752480101,0.039254503991633986,-0.05507575162450044,-0.09429324127196818,-0.03627493352277137,-0.13053396998414504,-0.05948345895987228,-0.027692677086960608,-0.16863406408094075,1.1324274851181369e-12,-0.4648779798398844,-0.08424599831507823
36,C~[Pt] + O[Pt] <=> C#[Pt] + O=[Pt],0.0056298241734122735,-0.03332500457182051,0.005670037867764061,-0.0332848065417455,0.005585630583324161,-0.03336918094734318,-0.03895263578032011,0.021849287746532022,-0.01711185890725867,-0.008845822888385948,-0.006834412969113366,0.08431703204047038,1.4432899320133116e-13,-0.07524907535670312,0.08424599831509319
37,2 C=[Pt] <=> C[Pt] + C#[Pt],0.030658361180212795,-0.03409616929361291,0.019185425303012836,-0.045561678202026105,0.04326675823476542,-0.021495934245020117,-0.06473468388062643,-0.0752551441762094,-0.1399411118771427,-0.06247829389213677,-0.01924660981771048,-0.16863406408094075,1.2212453270881868e-12,-0.24152386132242137,-0.16849199663015646
38,C[Pt] + C~[Pt] <=> C=[Pt] + C#[Pt],0.01991449247240942,0.011595289658943495,0.011335529747237887,0.0030170404930030714,0.029342503707968835,0.021022516715296174,-0.008317546416301705,-0.08037393515066173,-0.08868479642760232,-0.03786329174359616,-0.006834412849525066,-0.2529510961214261,7.77156117237937e-13,-0.07524906768912824,-0.2527379949452347
39,C=[Pt] + C~[Pt] <=> 2 C#[Pt],0.005707425893085114,0.017957711185006116,0.0022614913885074593,0.01451135456770891,0.009494399944260821,0.02174514912483619,0.012249586155873578,-0.040855260708127276,-0.028610679152616107,-0.011600994178990728,-7.502704301966363e-10,-0.08431703204047038,2.553512956638936e-13,-8.434427284856259e-09,-0.08424599831507823
40,[CH]C + 2 [Pt] <=> C[Pt] + C#[Pt],0.02718861465753248,-0.07347795667712259,0.020113927298440935,-0.08054552412679832,0.03496347439832773,-0.06571092149365942,-0.10063920892793875,-0.01641014054647464,-0.11703283443877524,-0.053749462975043634,-0.027694022972850913,-0.08431703204047038,1.0103029524093182e-12,-0.4648858238615301,0.0
41,[C-]#[O+] + [Pt] <=> [C-]#[O+].[Pt],0.03288231244145635,-0.026740238020163364,0.02157130455702275,-0.03804450421004026,0.04531275570553669,-0.014317203667166043,-0.05960295163284039,-0.07818338717019606,-0.1377397391965871,-0.060825482986208594,-0.017554324406681903,-0.2529510961214261,1.1768364061031617e-12,-0.1937857280904878,-0.2527379949452347
