,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion
0,[H][H] + 2 [Pt] <=> 2 [Pt],0.025652442608008707,0.05278038024722223,0.015534547341851546,0.04265974090868427,0.03593013513412046,0.0630608601843322,0.02712098044528297,-0.13967875323137052,-0.11259565503343637,-0.03363605572847241,-0.007267568335698209,-0.09442870632672132,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],0.02569343142417736,0.05281433711695365,0.015731671605190622,0.042849876272472,0.03581252257359627,0.06293617195060146,0.02711393919140891,-0.1399824437329221,-0.11290645929619014,-0.033639444724793924,-0.00512971244487311,-0.09442870632672132,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.019929154926491777,0.03470469423117405,0.012174476949933483,0.026948870687434963,0.02780630662508976,0.042583009589533954,0.01477259525130543,-0.09972956801725069,-0.0849717054113839,-0.02573921019636034,-0.0066675924862989715,-0.09442870632672132,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.02474909263954699,0.054512804902774124,0.014745595193348737,0.04450633078108494,0.03491058060055228,0.0646773165514902,0.029756347837144585,-0.13823059257797593,-0.10851537711677585,-0.032235805943674936,0.01795429275250899,-0.09442870632672132,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],0.020047344553871093,0.03487610185043993,0.012653016369729474,0.027480677399095346,0.027558455265595132,0.04238832614330627,0.014825785120352762,-0.10062389375817136,-0.08581302692008926,-0.025777834639946786,-0.0038168012529203304,-0.09442870632672132,0.0
5,C + 2 [Pt] <=> C[Pt] + [Pt],0.02336630108819708,0.04511451283089078,0.01513902237292745,0.036885445247631425,0.03172351755840238,0.053473546421656123,0.02174313117720806,-0.12390951384468298,-0.10219332447562096,-0.03019502905651772,-0.006819515258466086,-0.09442870632672132,0.0
6,C=[Pt] + [Pt] <=> C[Pt] + [Pt],0.029858460620890145,0.06630408557435534,0.01818644045568931,0.05462781273826223,0.041714823160813166,0.07816476794988055,0.036434746099165,-0.16946037521795057,-0.1330873715762434,-0.03940391344709794,-0.006648173135720226,-0.09442870632672132,0.0
7,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],0.025648731575213118,0.05276139031365463,0.015536254483854697,0.042646172163959495,0.03592092035441914,0.06303636344222517,0.02710570646856203,-0.1396474746880893,-0.11257962065410537,-0.033629508541277206,-0.006568172557483745,-0.09442870632672132,0.0
8,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],0.020253548924765517,0.03670836571899538,0.01256703971240555,0.029020591961751645,0.028061455233881247,0.04451755654464521,0.016451484784724427,-0.10148992157328705,-0.08505513338756308,-0.02552528944126782,-0.006568189711800405,-0.09442870632672132,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],0.0012697319518921028,0.03889467047165174,0.002942447054216351,0.04056801492401868,-0.00042940122288254997,0.0371948980071898,0.03762446078997713,-0.06646750097362905,-0.028868048222502236,-0.005701110452211328,0.0014590609564216687,0.0,0.0
