,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],0.0005402950701442815,0.0017563481541299636,0.00035371468558201876,0.0015697655006536586,0.0007213513644314924,0.0019374066501321808,0.0012160465137473874,-0.008320892940608749,-0.0071049476128047856,-0.0012520651596940326,-0.0007474878533347138,0.0,0.0,0.008895014011726562,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],-0.05206602134340803,-0.18188046833519256,-0.048756317867447,-0.17857506357066985,-0.055277734342454754,-0.18508800989488555,-0.12988207141881927,0.836063677960919,0.7050957097187706,0.11428430242458641,0.001492030329572356,0.0,0.0,-0.007811497961310135,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.0005876300050488526,0.002153964332979746,0.0006571181841804393,0.0022234536005137206,0.0005201991642672924,0.0020865324359969173,0.0015663251237369841,-0.009699325086751484,-0.008133151885988016,-0.0012481349406338659,-0.00010663419778129889,0.0,0.0,0.0014464495623397972,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.0006072374640821492,0.0018993111733025439,0.0004093227177306875,0.0017013938697602049,0.0007992925433910448,0.00209136873407395,0.001292065863304277,-0.008946609101978024,-0.007654658834768675,-0.0013391935327580315,0.020878226600261764,0.0,0.0,0.8833140143612718,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],0.00028360155509955126,0.0004881695156421904,-8.892975282252493e-05,0.0001156374456539073,0.0006451033189108573,0.0008496720189631198,0.0002045673803910032,-0.0033090110080045065,-0.00310445039676954,-0.0007327614916798595,0.003261344369538521,0.0,0.0,-0.06005934671240246,0.0
5,C + 2 [Pt] <=> C[Pt] + [Pt],-0.008620682345943818,0.05416317533820232,-0.002454843481538189,0.06033288568787646,-0.01460396905871912,0.048176131763347035,0.06278927054771054,-0.11366858352272022,-0.050950684649455735,-0.0022713320116508106,0.015549302479207718,0.09487666034155395,0.0,0.41983397194037964,0.0
6,C=[Pt] + [Pt] <=> C[Pt] + [Pt],0.000587065691283296,0.0021642331933324796,0.0006631463735584702,0.0022403150755188257,0.0005132375317585578,0.0020904038694107515,0.0015771582430911162,-0.009734390256480943,-0.008157385540132261,-0.0012480551013110926,7.831283903866873e-05,0.0,0.0,-0.021592273353515924,0.0
7,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],0.0005875676000870469,0.002154324633439882,0.0006572642739708173,0.0022240223992986336,0.0005199344374512339,0.0020866904111476,0.0015667478276502672,-0.00970044104231433,-0.008133845196126255,-0.0012481302271714946,-3.5754502038107334e-10,0.0,0.0,-1.312699235834687e-08,0.0
8,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],0.0003752335672357635,0.0011724779346632653,0.00019572962178302468,0.0009929725581265478,0.0005494229347185898,0.0013466686908307605,0.0007972413759043696,-0.005647237990815134,-0.004850041637040886,-0.0008886188395465562,-2.998928984935085e-09,0.0,0.0,2.0510520234754437e-06,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],0.0005405595519281059,0.001750407303371997,0.0003504053791447725,0.0015602508300278813,0.0007250838251839602,0.0019349338090642512,0.0012098412115263456,-0.008301529528811082,-0.007091788752609341,-0.0012521113769611504,-2.0523596779221826e-09,0.0,0.0,-1.69058700276398e-10,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],-0.05209705507886836,-0.18214524513004235,-0.04896739555219576,-0.1790196577904478,-0.0551340546945274,-0.18517829312401882,-0.13011597664320065,0.8370358835464845,0.705830789488545,0.11428430242457446,-4.5626339437977195e-09,0.0,0.0,-2.3414629988281123e-08,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-0.17554166462995993,0.2744057493200213,-0.15812898650674126,0.291896913113218,-0.19243880513910644,0.257432446868175,0.45073864807594566,0.0938257343978666,0.5449872913205741,0.11428430242457446,0.10107273154316672,0.0,0.0,1.1566098173647592,0.0
12,O=C=O.[Pt] + [Pt] <=> O=C=[Pt] + O[Pt],-0.011681897437463978,0.04355968785499868,-0.006013343161718446,0.04923137389585448,-0.01718262267932895,0.03805592357028045,0.05524803931174766,-0.06373027483035563,-0.008517445245912749,0.0041469509822083285,0.015778956535420094,0.09487666034155395,0.0,0.4194348440665373,0.0
13,[Pt] + O=[Pt] <=> O[Pt] + [Pt],-0.05209709960444573,-0.18214514926420264,-0.048967546767773956,-0.1790196684713705,-0.0551339956888892,-0.18517809386591438,-0.1301158362365557,0.8370362172824073,0.7058312643721185,0.11428430242456251,5.1074834626555114e-08,0.0,0.0,-1.1440239662334241e-05,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],0.00034335955725980384,0.0011450530786396198,0.00035518890040890557,0.0011568825166212218,0.0003318804458042124,0.0011335738751359974,0.0008016907686944029,-0.005502343058891416,-0.004700696401987679,-0.0007394855052506893,-0.00012604386336168943,0.0,0.0,0.0012076880209114305,0.0
15,O + [Pt] <=> O.[Pt],0.0005405586089550192,0.00175037568599956,0.0003503866038556195,0.0015602013801891412,0.0007251001865650942,0.0019349194962093735,0.001209810537305644,-0.008301416361387735,-0.007091706255495839,-0.0012521091195692546,4.22255087871471e-06,0.0,0.0,-6.356922244724064e-05,0.0
16,O.[Pt] + O=[Pt] <=> 2 O[Pt],-0.05209964459122243,-0.18211213249899577,-0.04896908902644151,-0.17898564916902532,-0.05513751371596622,-0.18514604995573777,-0.13008025926054184,0.8370007184124751,0.7058316864474111,0.11428430242457446,0.00443311719240413,0.0,0.0,-0.049249017332575654,0.0
17,[Pt] + O[Pt] <=> O.[Pt] + [Pt],-0.05206987243666037,-0.18190126092986938,-0.04879172678022912,-0.17862737355272704,-0.0552509619493725,-0.18507821823827234,-0.12989902675073034,0.8362084256312412,0.7052231722740012,0.11428430242457446,4.208145460163045e-05,0.0,0.0,-6.010685037940615e-05,0.0
