,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],0.0010390574046759804,0.0025731546366513734,0.0006101471830079266,0.0019076989797048778,0.00298091787716657,0.00343620071564483,0.0012974063907303928,-0.004678958838032397,0.004508323620929403,-0.001256680237307033,3.696841912050196e-06,0.0,-1.3681866097831032e-12,-0.0009030284836163465,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],3.2399436861808305e-06,0.001465248102295008,0.0003005100274798496,0.001078779677667148,5.822929100909865e-06,0.001966552415468691,0.0007781205496396888,-0.007586630708631828,-0.004841420520311655,-0.0007274954645066358,2.370329343595354e-08,0.0,5.551115123716235e-15,6.251060645123131e-07,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.0013344875523977988,0.0003139497750128513,0.0002781340151094833,0.00040715951647619047,-0.00030234387799869816,0.00019318994770274974,0.0001288570927292123,0.004293204804204499,0.0012379103105374756,-0.0022905943202128115,-0.0002575091066450976,0.0,-6.154798892874616e-13,-0.0025144908832928784,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.10987668884986658,-0.21709521333547435,-0.05270140816607838,-0.15998130427097484,-0.183694757328514,-0.2911500676575526,-0.10733646572642407,0.3917582135184929,0.284001236437374,0.10555432453447812,0.028873048313118044,0.5331753554502361,-1.024691442826415e-10,0.600499391259726,0.5322294500295675
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-0.002381729631262001,0.002185758487820547,-0.00927238723364564,-0.006212889543557592,0.007428777203054641,0.013076003142946173,0.003059637510139426,0.002876635310299758,0.014887173675655556,-0.002946273276283001,0.0018355940320601998,0.0,1.274144188872464e-12,0.016174292747276615,0.0
5,C + 2 [Pt] <=> C[Pt] + [Pt],-0.001755077707704204,0.0007537872783323064,0.00021735264500832702,0.0005999689945510846,0.0019710759896311033,0.0009533377414645407,0.0003825033455240136,-0.0030099213295261946,-0.0010637197277197496,-0.00036897835775860893,-0.00011323520635420528,0.0,4.411286151257577e-13,0.000859948701384047,0.0
6,C=[Pt] + [Pt] <=> C[Pt] + [Pt],0.06097415220687204,0.12776292796027489,0.026817733214928443,0.09512110638613303,0.10526313243887353,0.17208174823822328,0.06821782391564944,-0.23411569685288192,-0.1682151494548371,-0.0640454192144484,-0.0012463712101199239,-0.2962085308056914,5.954387310118743e-11,-0.6842110854968183,-0.2956830277942088
7,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-0.00040863373598691273,-0.0008959399055495327,-0.0001703001313529643,-0.0006577353298226878,-0.0008395610600261458,-0.0012046652676243935,-0.00048753369620651313,0.001654143929598168,0.0011657105063733954,0.00044420053042684417,-2.9189180792201135e-08,0.0,-4.163336342417568e-13,-1.1449917857825692e-07,0.0
8,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],0.0038568988958023777,0.005775144222913192,0.004208345627991464,0.004989833160357937,0.005293495779707545,0.006793548544434388,0.0007812124074861389,-0.014042043756031432,-0.0039740529205128826,-0.002125658562704452,2.1860755332830002e-05,0.0,8.413023364537871e-13,0.00020180767161573796,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-0.001258329777802996,-0.0016538777892302094,-0.00037978425017056485,-0.00119640466548204,-0.0020032754161653033,-0.00224695025437922,-0.0008167904485090271,0.0036743619596710693,0.0036746240219212105,-0.0013161981513884838,-1.1341600370763593e-11,0.0,-1.3051288445264872e-12,1.5760556836097778e-09,0.0
