,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-5.428793446421536e-05,-2.5853844467746193e-05,-0.000306842292508359,-0.00027840827432015774,0.0002096216925364293,0.00023805585758263838,2.843410543705247e-05,0.00014357402454359672,0.00017200817081698523,1.0930206528881071e-07,-0.00012768568822284205,0.0,0.0,0.0001086660403406797,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],-2.07808140634899e-05,-6.405033062916324e-06,-0.00012873956525647894,-0.00011436379976928151,9.203194428356342e-05,0.00010640774149267962,1.4375783995493178e-05,5.626375639156589e-05,7.063954847515383e-05,-9.916979459739e-07,3.361054313242692e-05,0.0,0.0,-2.4661634207216132e-05,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.00011457094579376015,5.253099360657933e-05,0.0006427346413406631,0.0005806943614965448,-0.0004373398782565806,-0.0004993794880256022,-6.203988110597691e-05,-0.0002966608166525376,-0.0003587005137111122,4.2819436763105885e-07,-9.84613317410929e-05,0.0,-2.2204460492507217e-14,-0.0005547652525350511,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.00029085397696425254,-0.000149641425564999,-0.0016624123329199655,-0.001521201718325612,0.0011423719506828522,0.0012835865259982276,0.00014121296212598,0.0007913436171145619,0.0009325576967206023,-1.1786545441866339e-06,0.008169156999708941,0.0,0.0,-0.4504855454954784,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-0.005541322769474454,-0.0016789569428106055,-0.03443354490317396,-0.030572295061662424,0.02464994228977324,0.028513474278159777,0.0038625798646885314,0.015021815645224184,0.018884975739544736,-0.00027219903935532075,0.008763385593557932,0.0,2.2204460492507217e-14,-0.0031567245151193062,0.0
5,C + 2 [Pt] <=> C[Pt] + [Pt],0.06828307323451678,0.11377052825887324,0.051765916957513265,0.0972458638746319,0.08554286865201279,0.13103816936078716,0.045456415986542445,-0.10544034608376403,-0.06003185949954139,-0.023775830148538474,-0.000545230888630439,0.0,2.9976021664884745e-13,0.00039985697892323834,0.0
6,C=[Pt] + [Pt] <=> C[Pt] + [Pt],5.006140261187307e-07,4.2323066737062726e-07,1.88259192280487e-06,1.8052085668598867e-06,-9.434999059642502e-07,-1.0208832536196128e-06,-7.738334613909636e-08,-1.026170521493743e-06,-1.103553861527834e-06,-4.668432095181719e-08,-1.1758045081791194e-06,0.0,0.0,0.00012275506343021884,0.0
7,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],0.01257125794939188,0.020671652007876688,0.010760881906279432,0.01886112933559882,0.01446303154581485,0.022563578826159093,0.008099375865053679,-0.01973128457015199,-0.011633506815985802,-0.004290889097225073,2.344650064205094e-10,0.0,4.4408920985014434e-14,3.127511754975169e-08,0.0
8,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],0.01257632752904446,0.02067989009720911,0.010765484443649545,0.01886890028748687,0.014468589166756833,0.022572305056251858,0.008102543565756369,-0.01973925298456755,-0.011638308800376057,-0.0042925963892595925,3.944582129367994e-08,0.0,4.4408920985014434e-14,1.7957409350542761e-06,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-2.1070939569474532e-08,-3.486004359291915e-08,-1.734464277151426e-08,-3.1133727532597755e-08,-2.496477694190094e-08,-3.875387070896065e-08,-1.3789103266626655e-08,3.564331144184863e-08,2.1854206675795176e-08,8.68275320113353e-09,1.0262170019216562e-09,0.0,0.0,5.2274334923230174e-08,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],0.012571253736224967,0.020671644843434138,0.010760872670849374,0.01886111714855896,0.014463032580736846,0.022563576910199057,0.008099372914501583,-0.019731277928345087,-0.011633503123609156,-0.004290890086790549,-1.3795594552590092e-09,0.0,4.4408920985014434e-14,4.002712870846215e-08,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],0.046153873295338724,0.0645003080895364,0.08424938779618182,0.10260280853483916,0.006345520357303524,0.02468465510725108,0.018337971110252822,-0.08169518392109283,-0.06337219405005284,-0.01246711938115294,-0.012368186617734232,-0.09328358208955025,9.992007221628248e-14,0.371074949868386,0.0
12,O=C=O.[Pt] + [Pt] <=> O=C=[Pt] + O[Pt],0.012927140529746058,0.02097941251471165,0.012185653043527521,0.020237865329641766,0.013701966541083827,0.021754300909107162,0.008051231191000659,-0.02053343654673909,-0.012483858550173149,-0.004331709050552834,4.6976084285979447e-05,0.0,4.4408920985014434e-14,-3.92372293170983e-05,0.0
13,[Pt] + O=[Pt] <=> O[Pt] + [Pt],-5.054704046842094e-06,-1.1020841463002762e-06,-3.3244551114032904e-05,-2.9291932330700678e-05,2.4402606013710132e-05,2.835522707935214e-05,3.9526201081573785e-06,1.4154440325728506e-05,1.810706099224827e-05,-3.6393655969166013e-07,3.0294852761977724e-07,0.0,0.0,-1.938456280146039e-06,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],0.014140823649444235,0.023166056532997945,0.012417550995348187,0.021442628371533587,0.01594157754192367,0.024966972924747866,0.009023956821741095,-0.022249519434719006,-0.013227570399997836,-0.004802432338192884,-0.00017249583286028765,0.0,5.5511151231268044e-14,0.0022525565889150354,0.0
15,O + [Pt] <=> O.[Pt],1.2913714817569372e-08,1.5858941454169817e-09,1.0740025235256967e-07,9.607245463182739e-08,-8.582108007940402e-08,-9.714888032819264e-08,-1.1327811872278195e-08,-4.443678740535241e-08,-5.576459996483571e-08,3.3647984858473787e-09,7.201435370013399e-09,0.0,0.0,-1.8168242935391537e-06,0.0
16,O.[Pt] + O=[Pt] <=> 2 O[Pt],3.074368511342503e-05,1.4102520197647336e-05,0.00017419500438047342,0.0001575538156108493,-0.00011915744684436468,-0.00013579858680457261,-1.6641159794466405e-05,-8.069353798376674e-05,-9.73346843519039e-05,1.0278327404821578e-07,7.206781133706558e-05,0.0,0.0,-0.0010573818702894363,0.0
17,[Pt] + O[Pt] <=> O.[Pt] + [Pt],-1.0641907416158678e-06,-3.777670015645403e-07,-6.4016271088908825e-06,-5.715203389002541e-06,4.51322576267139e-06,5.199649553006566e-06,6.86423754987741e-07,2.8462291647391767e-06,3.5326529430520114e-06,-3.43906658299244e-08,1.83964696283025e-06,0.0,0.0,-5.928742977969113e-08,0.0
18,[H] + [Pt] <=> [Pt],0.04278758137908148,0.0713216147109082,0.03242076745462531,0.06095184398147902,0.05362050470238093,0.08215762778215104,0.02852182953081274,-0.06614341962871333,-0.037640455411292836,-0.014917676971274395,-9.878469289499843e-05,0.0,1.8873791418631135e-13,4.737384974948679e-07,0.0
19,[CH3] + [Pt] <=> C[Pt],0.0013620054695258025,0.0017589651130768612,0.0012914233728747132,0.0016883827362522397,0.001435761056030785,0.001832720992351279,0.00039695423702015966,-0.0014333392140568138,-0.0010363906667346292,-0.00031967811443217787,-8.4090072247445e-05,0.0,0.0,-3.2536606501336733e-06,0.0
20,[OH] + [Pt] <=> O[Pt],0.01296102557447228,0.02126787533550944,0.011289743847045345,0.01959645479522479,0.014707450940715409,0.023014445755900344,0.008305773247652252,-0.020391687210636323,-0.012087607650280528,-0.004411181352388513,-0.00012371456719835716,0.0,4.4408920985014434e-14,3.0125713907562715e-05,0.0
21,[CH]=O + [Pt] <=> O=C[Pt],0.012571718084202767,0.020672423722921194,0.010761211330677395,0.018861770324024744,0.014463628268015142,0.022564487145556512,0.008099687368860874,-0.0197319914730649,-0.011633902333816747,-0.00429105090942753,5.640519090860885e-10,0.0,4.4408920985014434e-14,2.8949884614101617e-08,0.0
22,C + [Pt] <=> C.[Pt],7.979173637012655e-09,3.0780497540546177e-08,2.182267283855766e-09,2.4983615628230186e-08,1.4036735017478244e-08,3.683809298038455e-08,2.2801338165517254e-08,-3.4632828770697095e-08,-1.183149244125067e-08,-5.76171864414374e-09,6.500019979974519e-10,0.0,0.0,4.29186446795606e-08,0.0
23,O + 2 [Pt] <=> [Pt] + O[Pt],-0.0004162533706913272,-0.00010855942965604531,-0.002655911811971475,-0.0023482247622507875,0.0019241038829127268,0.0022318050251217258,0.0003076952218340225,0.0011442293951022724,0.0014519281376836964,-2.4594283717312575e-05,0.0005046807968302338,0.0,-2.2204460492507217e-14,-0.0001543516200591133,0.0
24,[H][H] + [Pt] <=> [H][H].[Pt],-1.8016801238288577e-08,-2.5013114009500593e-08,-1.7204135719154328e-08,-2.4200443766966136e-08,-1.886597284083581e-08,-2.586227769643979e-08,-6.9963125815112384e-09,2.144067080835743e-08,1.4444363643604348e-08,4.914856267232761e-09,-1.5492378909325772e-10,0.0,0.0,2.0869666773387704e-08,0.0
25,CC + 2 [Pt] <=> 2 C[Pt],3.2305705796087824e-05,8.279865668790314e-06,4.281464040829098e-05,1.8788797779758562e-05,2.132427181616221e-05,-2.7015656378415453e-06,-2.4025832355647912e-05,1.2441356454933998e-05,-1.1584478887634234e-05,2.082365318896842e-06,-2.4533311530929213e-06,0.0,0.0,-9.365306370686628e-08,0.0
26,C=O + 2 [Pt] <=> O=C[Pt] + [Pt],0.01257126181572239,0.020671661532097152,0.010760882609174847,0.018861135696042412,0.01446303871781382,0.022563591656405167,0.008099381521919224,-0.01973129880430311,-0.011633515395545996,-0.004290892981518014,-1.7830904940683825e-11,0.0,4.4408920985014434e-14,2.5425306947714178e-08,0.0
27,CO + 2 [Pt] <=> C[Pt] + O[Pt],4.4280801773085956e-07,-4.148225934213449e-08,6.392641046359345e-07,1.5497383215229954e-07,2.3751895093476698e-07,-2.467713169120378e-07,-4.842902688061282e-07,5.458264351623948e-07,6.153617445932505e-08,6.704572827438541e-08,-3.514096800869533e-08,0.0,0.0,1.6774532237322085e-07,0.0
28,CC=O + 2 [Pt] <=> C[Pt] + O=C[Pt],-1.4241208623300365e-08,-2.3001765060929324e-08,-1.2728141305382612e-08,-2.1488681392959858e-08,-1.5822289631026794e-08,-2.4582833939532507e-08,-8.760553850349251e-09,2.276730288469093e-08,1.4006756881968786e-08,5.264276945364794e-09,4.4933310773049096e-10,0.0,0.0,2.763167386884796e-08,0.0
29,O=C[Pt] + [Pt] <=> O=C=[Pt] + [Pt],-8.507037741338494e-09,-7.92963416924579e-09,-9.963191760815202e-09,-9.385777115320646e-09,-6.985396223880887e-09,-6.407975008768023e-09,5.774150399366068e-10,4.2726013684531115e-09,4.850024869887691e-09,8.766095001800901e-10,-3.2397557954526807e-10,0.0,0.0,3.038562580067475e-08,0.0
30,O=C[Pt] + C#[Pt] <=> C=[Pt] + O=C=[Pt],-8.934193984256948e-09,-4.36136491286845e-09,-1.0212809828537227e-08,-5.639977236883484e-09,-7.598073057105153e-09,-3.0252336423652613e-09,4.572831069455114e-09,1.3601736248274745e-09,5.933014500249097e-09,1.5592810514492692e-09,5.917239923925971e-10,0.0,0.0,2.1303728062351676e-08,0.0
31,C=[Pt] + O=C[Pt] <=> C[Pt] + O=C=[Pt],0.012571254108890463,0.020671649331377575,0.01076087687989135,0.01886112547311116,0.014463028944519559,0.02256357738900296,0.00809937702922284,-0.01973128480778632,-0.011633505889712768,-0.004290889448008469,3.578571473199381e-10,0.0,4.4408920985014434e-14,1.9508717685836055e-08,0.0
32,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],-1.1261020876503972e-08,-1.4783165151244035e-08,-1.0987360239540446e-08,-1.4509484344156934e-08,-1.1546969393287577e-08,-1.5069090338326016e-08,-3.5221327864513587e-09,1.195624668325919e-08,8.434122307804364e-09,2.9112961132826955e-09,-3.7070337436186843e-10,0.0,0.0,2.8217990502248522e-08,0.0
33,O=C[Pt] + O=[Pt] <=> O=C=[Pt] + O[Pt],-1.2330111720508446e-08,-9.611335137696189e-09,-1.3686198029392193e-08,-1.0967401034369654e-08,-1.091302076338058e-08,-8.194222274351444e-09,2.7187861761539524e-09,4.886020968130698e-09,7.604813852363022e-09,1.7789776825205841e-09,2.464709591880785e-10,0.0,0.0,2.64336647113074e-08,0.0
34,C#[Pt] + O[Pt] <=> C=[Pt] + O=[Pt],9.520453605232322e-09,1.5886622612871934e-08,1.211879198681195e-08,1.8484996025667757e-08,6.80530592058077e-09,1.3171497921056767e-08,6.366182236764653e-09,-1.5674580733058114e-08,-9.308383965428e-09,-1.9229604065449316e-09,1.7590928304700979e-09,0.0,0.0,2.8419662054967168e-08,0.0
35,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],0.012571255683905085,0.02067164828870574,0.01076088121262275,0.018861127188433167,0.014463027637842178,0.02256357346434843,0.008099374411744058,-0.019731284236748223,-0.01163350793557736,-0.004290889832261532,-3.3194679160221754e-09,0.0,4.4408920985014434e-14,3.9671999795429777e-07,0.0
36,C~[Pt] + O[Pt] <=> C#[Pt] + O=[Pt],-3.291449133157998e-09,-4.273135862748657e-09,-2.7720743310182932e-09,-3.753752559214459e-09,-3.834159537459873e-09,-4.8158411287883385e-09,-9.816756625486077e-10,5.31269886702349e-09,4.331024615527334e-09,1.9910796569807348e-09,8.817610364157809e-10,0.0,0.0,2.7783929213284553e-08,0.0
37,2 C=[Pt] <=> C[Pt] + C#[Pt],-1.2127543770453679e-08,-1.3242915943847937e-08,-1.110284441553003e-08,-1.221819634082745e-08,-1.3198315332688613e-08,-1.4313678279754e-08,-1.115370911548497e-09,1.1377645300011336e-08,1.0262279062315038e-08,3.951747450507573e-09,6.324416898569861e-10,0.0,0.0,2.6822316511579755e-08,0.0
