,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion
0,C + [Pt] <=> C.[Pt],-0.0019556822834633277,-0.005221619876871959,-0.0017215360125569382,-0.004987481253213435,-0.002190856551008439,-0.005456786463624171,-0.0032660014660311743,0.009857441904244443,0.006591118494014973,0.0024695465857631233,-1.4431204741873396e-10,0.0,-2.220446049250603e-14
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.008131999126158902,-0.010802081079771458,-0.011010547266657912,-0.013680552354425897,-0.005240812997606618,-0.007910972154535822,-0.002670299102308477,0.021028957824838667,0.018358097186453523,0.004249091092961505,0.03062209944509942,0.08968609865472253,-3.3306690738759044e-14
2,[H][H] + 2 [Pt] <=> 2 [Pt],-0.001970121943881683,-0.005222877410006912,-0.0019883349356113254,-0.005241089809303394,-0.001951828989767999,-0.005204585050927407,-0.003252819550641302,0.010184608519609582,0.006931457682022784,0.002467134843640585,-9.848975269005644e-05,0.0,-2.220446049250603e-14
3,[H] + [Pt] <=> [Pt],0.008596646756317987,0.022691265114975465,0.0034960367138040112,0.01758993622273865,0.013719650535408669,0.027814990899829375,0.014093406798249624,-0.03769033490997778,-0.0236022399639608,-0.011133962800433063,0.00035017128985908024,0.0,8.881784197002412e-14
4,[Pt] + O=[Pt] <=> O[Pt] + [Pt],-4.709793840769362e-06,-1.7084555906718116e-06,-2.2825747842520538e-05,-1.9824410141062577e-05,1.3485696523575184e-05,1.6487035311381918e-05,3.0013383901033995e-06,2.3603155543960945e-05,2.660449464044115e-05,-1.848596988559467e-07,2.2327370501160856e-06,0.0,0.0
5,O + 2 [Pt] <=> O[Pt] + [Pt],-0.002323183177994808,-0.005362488859311691,-0.003191351648703402,-0.00623063094313588,-0.0014512030973134386,-0.004490535281398541,-0.003039376291602257,0.011299348119687039,0.00825962839837255,0.0024589639762092786,0.0005956737752102536,0.0,-2.220446049250603e-14
6,[OH] + [Pt] <=> O[Pt],5.6731371596809905e-05,7.663534886172685e-05,0.0003546256594583705,0.00037452969600718496,-0.0002424707924118143,-0.00022256687471248153,1.990396596028925e-05,-0.0005225322520464106,-0.0005026283900930696,-3.113776621322084e-05,-0.00027174442224638546,0.0,0.0
7,C + 2 [Pt] <=> C[Pt] + [Pt],0.007014240425170671,0.01762091544654565,0.0035609618315447164,0.014167270600565803,0.01048268030550059,0.02108972318721176,0.010605931095870002,-0.029612614952457247,-0.019009824550132774,-0.008558189088273398,-0.00017987523331520328,0.0,6.661338147751809e-14
8,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],0.017443960427972676,0.026869712660735023,0.040595872383455266,0.05002380647746002,-0.005809597764578962,0.003613963027668147,0.009424108295034058,-0.07654663330882412,-0.06712973885141577,-0.011346051111458639,-0.009579024534381352,-0.1793721973094132,5.551115123126508e-14
9,CC + 2 [Pt] <=> 2 C[Pt],9.433859355587057e-05,6.33222421516083e-05,0.00010764367609429482,7.662732056325735e-05,8.097509632213511e-05,4.995874905469902e-05,-3.1016322151890385e-05,-7.180981843980507e-05,-0.00010282611832256862,-1.258941012068686e-05,-1.3920565179041104e-05,0.0,0.0
10,[CH3] + [Pt] <=> C[Pt],0.020707918586119346,0.020785846680075465,0.022070977698642944,0.022148906854551703,0.01933887509399215,0.019416802121269,7.791196000133837e-05,-0.02979933454301174,-0.029721445800267175,-0.00683063033658992,-0.005094083268058829,0.0,6.661338147751809e-14
11,CO + 2 [Pt] <=> C[Pt] + O[Pt],-0.0019544961986312473,-0.005221778480082084,-0.0017200196578395978,-0.004987309600486109,-0.0021900021860797036,-0.005457276772771409,-0.0032673461416197393,0.009858600169981179,0.006590931913761225,0.0024699532420518334,1.1090179572097042e-07,0.0,-2.220446049250603e-14
12,C=[Pt] + [Pt] <=> C[Pt] + [Pt],9.821494930731262e-06,1.1034014304570594e-05,1.223949053472505e-05,1.3452009940733401e-05,7.392883363527136e-06,8.605402713123423e-06,1.2125192579865574e-06,-1.9261772210020534e-05,-1.8049253191475235e-05,-3.938444703126015e-06,2.168912077124719e-05,0.0,0.0
13,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],-0.0019556900568685155,-0.0052216283279870965,-0.0017215373469770345,-0.004987483265546834,-0.0021908707916551222,-0.005456801381789899,-0.0032660021440062926,0.009857448416573,0.006591124328088589,0.0024695515270439995,1.526353504214266e-07,0.0,-2.220446049250603e-14
