,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],8.098973971055196e-06,3.658804229032696e-05,-1.0140808209425711e-05,1.8348254926231005e-05,2.6873013867020574e-05,5.536208754365547e-05,2.848906602509157e-05,-6.708691850077064e-05,-3.8597871587536224e-05,-1.727465412914922e-05,-0.0012922652608261243,0.0,0.0,-0.006406155615583495,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],0.00017027897733519425,0.00044035702357412285,0.00027291066537275186,0.0005429889887929507,6.464112557951001e-05,0.0003347188865309313,0.0002700775863588151,-0.001412591379243656,-0.0011425176079732872,-0.00019608415544070638,0.00026787612771640826,0.0,0.0,0.006290904539380206,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],-2.2969079873851707e-06,-8.743462429418968e-06,4.541924556669921e-07,-5.992362155771781e-06,-5.128590348753565e-06,-1.157514459450452e-05,-6.446554578275557e-06,1.9062149731124822e-05,1.2615593926065686e-05,4.071084138410749e-06,-0.00011334860867952295,0.0,0.0,-0.00011291505729093214,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.0005532694155532087,-0.0018670358079577432,-0.00024249128953961026,-0.0015562617648565296,-0.0008731504798702306,-0.00218691266975801,-0.0013137736611091464,0.004588424884153098,0.0032745909415306165,0.0008588089104665251,0.035352502368234846,0.0,0.0,0.3810017141619237,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],3.7648134880094665e-05,0.00011409826498014002,3.5656762383658013e-05,0.00011210689096925585,3.969783624690184e-05,0.00011614796794029254,7.645010132448479e-05,-0.0003123401421978394,-0.00023589027965602576,-5.1858848444519804e-05,-7.509233144443026e-06,0.0,0.0,0.0017639456340383891,0.0
5,C + 2 [Pt] <=> C[Pt] + [Pt],0.0007490538418700449,0.0019737929333437515,0.001146745062445542,0.0023714890245718355,0.00033971392939293756,0.0015644480075926051,0.0012247299175969526,-0.006214582218723865,-0.004989928412966642,-0.0008812003371853451,-0.0001431295266862175,0.0,0.0,0.00040264915159748526,0.0
6,C=[Pt] + [Pt] <=> C[Pt] + [Pt],2.4593567590279598e-06,8.152746024121559e-06,1.2962551032233103e-06,6.989644307415345e-06,3.6565265740422336e-06,9.349915936359684e-06,5.693389135733797e-06,-2.039761856528639e-05,-1.4704230591819995e-05,-3.742465053491246e-06,-8.219772971922384e-06,0.0,0.0,0.00013832311454431588,0.0
7,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-2.690977370834068e-10,4.635042941273627e-10,-8.088915455518616e-11,6.517328691493842e-10,-4.6283172113450934e-10,2.69806186280475e-10,7.326106499569251e-10,-2.5251596544322425e-10,4.800949847561808e-10,2.1631980926051753e-10,1.9199944154938426e-09,0.0,0.0,-2.6860728684819898e-09,0.0
8,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],3.616160545363711e-08,1.209460013912354e-07,2.0781350915610037e-08,1.0556575638745255e-07,5.199233462485618e-08,1.3677674599408177e-07,8.47844063566763e-08,-3.0076504196971315e-07,-2.1598063678785336e-07,-5.415451269515708e-08,-9.696534380102706e-09,0.0,0.0,1.910758943010851e-06,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-4.0239634800517206e-10,5.231405938657311e-10,-7.995100714410797e-10,1.2602851620422766e-10,6.349151982181749e-12,9.319063157353877e-10,9.255459758375456e-10,-1.7234356562388054e-10,7.532061294998984e-10,2.3999660430395726e-11,3.9170403159649324e-10,0.0,0.0,4.060654886135942e-09,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],-3.2767945979274816e-10,4.858986858581633e-09,-6.011133548865312e-09,-8.244764663727156e-10,5.52222227113465e-09,1.0708901425191493e-08,5.186662111102452e-09,-6.451078473393959e-10,4.541559222515886e-09,-1.7648252538197366e-09,-1.8695330457273412e-09,0.0,0.0,3.2955066927152847e-09,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],0.02089445848277718,0.05432274803688048,0.029952389741919463,0.0633837065749842,0.011571213218573273,0.04499638682232118,0.03342130635312531,-0.1712104325445725,-0.13784634695461162,-0.02530467580063233,-0.051534775031961924,-0.09433962264150743,0.0,0.14569758385620785,0.0
12,O=C=O.[Pt] + [Pt] <=> O=C=[Pt] + O[Pt],-3.742064597785066e-11,9.116729226211718e-10,7.635784124285425e-10,1.7126591872619119e-09,-8.619068485075872e-10,8.720321787101049e-11,9.491014727129695e-10,-1.6936967792539989e-09,-7.445930032569556e-10,2.530188415778491e-10,2.8411238857011984e-10,0.0,0.0,-7.221925053689708e-10,0.0
13,[Pt] + O=[Pt] <=> O[Pt] + [Pt],1.9736687459974805e-07,1.1981069342457179e-06,-6.977308635042469e-07,3.0300917553443135e-07,1.1186827241773335e-06,2.119422817656768e-06,1.0007400565670086e-06,-1.6366117598484182e-06,-6.358717171758637e-07,-5.763753067874054e-07,-5.905770606772366e-08,0.0,0.0,6.477368743228828e-07,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],0.00012211383235370378,0.00020771417266982742,0.00035521756035044704,0.00044081810019109646,-0.00011781768908696156,-3.221755413959558e-05,8.56002357820474e-05,-0.0010131331482536247,-0.0009275337797099622,-8.569495209973249e-05,-0.00010125163236024931,0.0,0.0,0.0015163124861061127,0.0
15,O + [Pt] <=> O.[Pt],-2.1458623116586772e-07,-7.058594124124377e-07,-1.1375778066560036e-07,-6.05030946708252e-07,-3.1836802711111294e-07,-8.096411801752108e-07,-4.912731729672655e-07,1.7758436211728523e-06,1.2845704402055299e-06,3.2655149803015464e-07,1.1782278321512111e-05,0.0,0.0,-4.9035877764266925e-06,0.0
16,O.[Pt] + O=[Pt] <=> 2 O[Pt],0.00023067013615629431,0.0022393171782487346,-0.0020534782967346404,-4.4877135008040694e-05,0.0025817230918923355,0.004590417358244911,0.002008642408751974,-0.0019141730657580782,9.443089410680829e-05,-0.0011004008586411168,0.008657308800730066,0.0,0.0,-0.007793342289920475,0.0
17,[Pt] + O[Pt] <=> O.[Pt] + [Pt],2.50618509224876e-05,0.00019273039893910745,-0.0001485410978010908,1.9127159127693795e-05,0.0002037497679663263,0.0003714186155876822,0.00016766850600375481,-0.00020791709771693994,-4.024894031614891e-05,-9.386225211065285e-05,6.27083055804905e-05,0.0,0.0,-7.16571243488612e-05,0.0
18,[H] + [Pt] <=> [Pt],1.176084070050652e-05,3.3323416288791097e-05,1.5858926424799328e-05,3.7421502912838794e-05,7.542718775918726e-06,2.9105293472632318e-05,2.1562573055577625e-05,-0.0001003024165642422,-7.873986513441814e-05,-1.4994988461117664e-05,-2.3054628376467074e-05,0.0,0.0,8.740306606557684e-06,0.0
19,[CH3] + [Pt] <=> C[Pt],1.8259226805154317e-06,3.5792030115532417e-06,2.454254993258258e-06,4.207535322513669e-06,1.1791860023650402e-06,2.932466325944164e-06,1.7532802953561843e-06,-1.0602746371933434e-05,-8.8494662604914e-06,-1.5656542889168728e-06,1.39550420486461e-06,0.0,0.0,-6.49323550050292e-07,0.0
20,[OH] + [Pt] <=> O[Pt],-3.62982754060017e-09,-1.1850819214325595e-08,3.895040890418436e-09,-4.325935738674258e-09,-1.1375130593221979e-08,-1.9596090591249536e-08,-8.220984066627092e-09,1.5082152099712773e-08,6.861167083261618e-09,5.107127739588211e-09,-1.416849928567674e-07,0.0,0.0,2.945672884491851e-07,0.0
21,[CH]=O + [Pt] <=> O=C[Pt],1.6025441401511856e-09,5.362147888065621e-09,2.7104734260303754e-09,6.470081305540609e-09,4.6216272500119794e-10,4.2217841361648595e-09,3.7596076555530364e-09,-1.5753760447410866e-08,-1.1994153507510084e-08,-2.014378673577591e-09,2.320436420641906e-10,0.0,0.0,4.1747559325232325e-10,0.0
22,C + [Pt] <=> C.[Pt],-1.824380895163497e-10,-1.0623296378240402e-09,-1.029067998081245e-09,-1.9089519547710817e-09,6.889776593308676e-10,-1.9088716452789678e-10,-8.798806958883809e-10,2.144295598644179e-09,1.2644158928034073e-09,-1.3702407022412484e-10,3.5543545644408735e-10,0.0,0.0,2.3088682327781223e-10,0.0
23,O + 2 [Pt] <=> [Pt] + O[Pt],0.001457602192666424,0.01863673097803555,-0.01959208127416405,-0.0024165685883115297,0.023123847616702418,0.04030669842004201,0.017178878385674213,-0.012092001853730348,0.005084799261652992,-0.009233291013643974,0.003091468710482529,0.0,0.0,-0.004718956121294426,0.0
24,[H][H] + [Pt] <=> [H][H].[Pt],-1.1976348365318096e-10,-7.993769710312487e-10,-5.698908279766611e-10,-1.2494900179781537e-09,3.435358257396789e-10,-3.3605783936518595e-10,-6.7960114389521e-10,1.572922103568631e-09,8.933234367810626e-10,-4.425408237210189e-11,2.5591489661994667e-10,0.0,0.0,3.6512334843933095e-10,0.0
25,CC + 2 [Pt] <=> 2 C[Pt],1.6569965294099192e-07,3.460041520053996e-08,1.9516025514670693e-07,6.406100381678118e-08,1.3537611366133714e-07,4.276880615111258e-09,-1.3109923587884526e-07,6.288088784478965e-09,-1.2481114352327285e-07,-6.133602902157844e-09,8.105282707326922e-11,0.0,0.0,1.7746068626352777e-09,0.0
26,C=O + 2 [Pt] <=> O=C[Pt] + [Pt],-3.275728457847594e-08,-2.9250341449219632e-08,-4.3269283947207685e-08,-3.976234818369035e-08,-2.1937393016764952e-08,-1.8430429683452775e-08,3.5069547115708915e-09,-1.5412879376341204e-08,-1.1905916565322953e-08,-1.476571036345423e-09,2.513492626898701e-10,0.0,0.0,3.2485239089087535e-10,0.0
27,CO + 2 [Pt] <=> C[Pt] + O[Pt],-1.6524549219540902e-10,2.2785559202101503e-09,8.452646856990239e-10,3.289069603584332e-09,-1.2053669388359478e-09,1.2384654038428757e-09,2.4438153341811557e-09,-3.811878934506747e-09,-1.3680646187490422e-09,2.813233738343248e-10,4.75988711901165e-10,0.0,0.0,8.215275339884946e-10,0.0
28,CC=O + 2 [Pt] <=> C[Pt] + O=C[Pt],-1.8038542775227213e-11,-3.331511362421568e-10,-1.9472997046419058e-10,-5.098416659081317e-10,1.6381569468142094e-10,-1.5128520054375105e-10,-3.15107780214857e-10,6.172655494941844e-10,3.021650452303155e-10,-2.63242912164789e-11,3.743306830086364e-10,0.0,0.0,3.261947561424905e-10,0.0
29,O=C[Pt] + [Pt] <=> O=C=[Pt] + [Pt],7.322404329309475e-11,1.3083266743036774e-09,8.805341230096236e-10,2.1156353145944365e-09,-7.57758035376411e-10,4.77349406496225e-10,1.2351022150539393e-09,-2.645985937713246e-09,-1.4108838406304083e-09,1.1539208929807307e-10,3.8103378600710086e-10,0.0,0.0,5.248648133815382e-10,0.0
30,O=C[Pt] + C#[Pt] <=> C=[Pt] + O=C=[Pt],3.2924694695804375e-10,3.439552206786406e-09,3.033220662170974e-09,6.143522874551551e-09,-2.4539283072604164e-09,6.563800892779e-10,3.1103086729411055e-09,-6.651767510920494e-09,-3.541450941001121e-09,5.752384977599334e-10,2.1212243034681533e-10,0.0,0.0,-4.335839762717055e-10,0.0
31,C=[Pt] + O=C[Pt] <=> C[Pt] + O=C=[Pt],-2.406714817445143e-10,2.2694409189462637e-09,6.257381915067274e-10,3.1358722435421932e-09,-1.1324716054421116e-09,1.3776749640129332e-09,2.5101254072183557e-09,-3.3014282060785984e-09,-7.91298772350677e-10,3.1963673308643633e-10,3.7769933426041573e-10,0.0,0.0,-2.6847305032303744e-10,0.0
