,Reaction,Total Sens,Sens Type
0,[CH]C + [Pt] <=> [CH]C.[Pt],0.2580566364181156,SynGasSelec
1,[CH]C + [Pt] <=> [CH]C.[Pt],0.5364127278739348,SynGasYield
2,[CH]C + [Pt] <=> [CH]C.[Pt],0.20629700294765568,COSelec
3,[CH]C + [Pt] <=> [CH]C.[Pt],0.42263004095552187,COYield
4,[CH]C + [Pt] <=> [CH]C.[Pt],0.37067049544263375,H2Selec
5,[CH]C + [Pt] <=> [CH]C.[Pt],0.6903748942426968,H2Yield
6,[CH]C + [Pt] <=> [CH]C.[Pt],0.38406750584546345,CH4Conv
7,[CH]C + [Pt] <=> [CH]C.[Pt],0.565295343224761,FullOxSelec
8,[CH]C + [Pt] <=> [CH]C.[Pt],0.2722731293866517,FullOxYield
9,[CH]C + [Pt] <=> [CH]C.[Pt],0.10522931577505387,ExitT
10,[CH]C + [Pt] <=> [CH]C.[Pt],0.053472794180345375,MaxT
11,[CH]C + [Pt] <=> [CH]C.[Pt],174.68435398361723,DistToMaxT
12,[CH]C + [Pt] <=> [CH]C.[Pt],0.010190560001935111,O2Conv
13,[CH]C + [Pt] <=> [CH]C.[Pt],3.9530769700898865,MaxRateCH4Conv
14,[CH]C + [Pt] <=> [CH]C.[Pt],0.09863463509897641,DistTo50CH4Conv
15,C=C + [Pt] <=> C=C.[Pt],0.12416526829001298,SynGasSelec
16,C=C + [Pt] <=> C=C.[Pt],0.44272543200782205,SynGasYield
17,C=C + [Pt] <=> C=C.[Pt],0.11770943034333074,COSelec
18,C=C + [Pt] <=> C=C.[Pt],0.331666692830721,COYield
19,C=C + [Pt] <=> C=C.[Pt],0.2687281789531948,H2Selec
20,C=C + [Pt] <=> C=C.[Pt],0.5862445089564435,H2Yield
21,C=C + [Pt] <=> C=C.[Pt],0.34509112470764874,CH4Conv
22,C=C + [Pt] <=> C=C.[Pt],0.45440401076741704,FullOxSelec
23,C=C + [Pt] <=> C=C.[Pt],0.09503284549488548,FullOxYield
24,C=C + [Pt] <=> C=C.[Pt],0.037086788686919024,ExitT
25,C=C + [Pt] <=> C=C.[Pt],0.047540636138049444,MaxT
26,C=C + [Pt] <=> C=C.[Pt],89.3767893180958,DistToMaxT
27,C=C + [Pt] <=> C=C.[Pt],0.012889999302291006,O2Conv
28,C=C + [Pt] <=> C=C.[Pt],3.6414381145442123,MaxRateCH4Conv
29,C=C + [Pt] <=> C=C.[Pt],0.022887560841988654,DistTo50CH4Conv
30,[CH3] + [Pt] <=> [CH3].[Pt],0.1891376056584685,SynGasSelec
31,[CH3] + [Pt] <=> [CH3].[Pt],0.36326329352164693,SynGasYield
32,[CH3] + [Pt] <=> [CH3].[Pt],0.15115238611055082,COSelec
33,[CH3] + [Pt] <=> [CH3].[Pt],0.27916805555377644,COYield
34,[CH3] + [Pt] <=> [CH3].[Pt],0.35792796302496155,H2Selec
35,[CH3] + [Pt] <=> [CH3].[Pt],0.5122626809686891,H2Yield
36,[CH3] + [Pt] <=> [CH3].[Pt],0.21624737706454958,CH4Conv
37,[CH3] + [Pt] <=> [CH3].[Pt],0.4227049079793684,FullOxSelec
38,[CH3] + [Pt] <=> [CH3].[Pt],0.21997966051295986,FullOxYield
39,[CH3] + [Pt] <=> [CH3].[Pt],0.09199849567414872,ExitT
40,[CH3] + [Pt] <=> [CH3].[Pt],0.017768187517634742,MaxT
41,[CH3] + [Pt] <=> [CH3].[Pt],224.66332369188729,DistToMaxT
42,[CH3] + [Pt] <=> [CH3].[Pt],0.013390841173104052,O2Conv
